"export-plot data (NetLogo 6.2.2)"
"logistic-growth.nlogo"
"01/22/2022 20:12:05:275 -0500"

"MODEL SETTINGS"
"r","dt"
"5","0.01"

"""Density"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10000","false","""nexact""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""pop""","true","0","1","55","10"
"""nexact""","true","0","1","0","10"

"""pop""",,,,"""nexact"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","55","true","0","100","0","true"
"0.01","104","55","true","0.01","104.02800912436308","0","true"
"0.02","110","55","true","0.02","108.21604430492661","0","true"
"0.03","118","55","true","0.03","112.5702807032991","0","true"
"0.04","123","55","true","0.04","117.09711681506587","0","true"
"0.05","126","55","true","0.05","121.80318131232659","0","true"
"0.06","127","55","true","0.06","126.69533999061379","0","true"
"0.07","134","55","true","0.07","131.7807028116285","0","true"
"0.08","140","55","true","0.08","137.06663103201862","0","true"
"0.09","144","55","true","0.09","142.56074440711873","0","true"
"0.1","152","55","true","0.1","148.27092845715913","0","true"
"0.11","163","55","true","0.11","154.20534178193506","0","true"
"0.12","165","55","true","0.12","160.3724234082957","0","true"
"0.13","169","55","true","0.13","166.7809001530629","0","true"
"0.14","174","55","true","0.14","173.43979398211764","0","true"
"0.15","179","55","true","0.15","180.3584293443893","0","true"
"0.16","189","55","true","0.16","187.5464404573487","0","true"
"0.17","198","55","true","0.17","195.01377851833072","0","true"
"0.18","205","55","true","0.18","202.77071881359888","0","true"
"0.19","208","55","true","0.19","210.82786769449814","0","true"
"0.2","211","55","true","0.2","219.19616938733498","0","true"
"0.21","222","55","true","0.21","227.8869126007562","0","true"
"0.22","231","55","true","0.22","236.9117368913854","0","true"
"0.23","239","55","true","0.23","246.28263874529932","0","true"
"0.24","245","55","true","0.24","256.0119773296091","0","true"
"0.25","252","55","true","0.25","266.11247986492856","0","true"
"0.26","263","55","true","0.26","276.59724656589196","0","true"
"0.27","277","55","true","0.27","287.47975509311607","0","true"
"0.28","290","55","true","0.28","298.7738644560969","0","true"
"0.29","293","55","true","0.29","310.4938183025056","0","true"
"0.3","302","55","true","0.3","322.6542475252041","0","true"
"0.31","319","55","true","0.31","335.2701721140602","0","true"
"0.32","336","55","true","0.32","348.35700217531996","0","true"
"0.33","352","55","true","0.33","361.93053803691146","0","true"
"0.34","358","55","true","0.34","376.0069693536422","0","true"
"0.35000000000000003","370","55","true","0.35000000000000003","390.6028731218271","0","true"
"0.36","383","55","true","0.36","405.73521050849365","0","true"
"0.37","406","55","true","0.37","421.4213223959937","0","true"
"0.38","421","55","true","0.38","437.67892353862385","0","true"
"0.39","435","55","true","0.39","454.5260952238246","0","true"
"0.4","452","55","true","0.4","471.9812763266771","0","true"
"0.41000000000000003","462","55","true","0.41000000000000003","490.06325264286573","0","true"
"0.42","478","55","true","0.42","508.791144382059","0","true"
"0.43","489","55","true","0.43","528.1843917008683","0","true"
"0.44","508","55","true","0.44","548.2627381522414","0","true"
"0.45","525","55","true","0.45","569.0462119264428","0","true"
"0.46","551","55","true","0.46","590.555104757741","0","true"
"0.47000000000000003","573","55","true","0.47000000000000003","612.8099483706696","0","true"
"0.48","591","55","true","0.48","635.8314883403674","0","true"
"0.49","615","55","true","0.49","659.6406552431368","0","true"
"0.5","639","55","true","0.5","684.2585329761106","0","true"
"0.51","646","55","true","0.51","709.7063241289064","0","true"
"0.52","670","55","true","0.52","736.0053122955002","0","true"
"0.53","689","55","true","0.53","763.1768212213885","0","true"
"0.54","708","55","true","0.54","791.2421706895806","0","true"
"0.55","733","55","true","0.55","820.2226290591494","0","true"
"0.56","762","55","true","0.56","850.1393623821673","0","true"
"0.5700000000000001","780","55","true","0.5700000000000001","881.0133800388888","0","true"
"0.58","794","55","true","0.58","912.8654768472272","0","true"
"0.59","813","55","true","0.59","945.7161716209072","0","true"
"0.6","842","55","true","0.6","979.58564217132","0","true"
"0.61","872","55","true","0.61","1014.4936567711001","0","true"
"0.62","911","55","true","0.62","1050.4595021228126","0","true"
"0.63","950","55","true","0.63","1087.5019079039398","0","true"
"0.64","978","55","true","0.64","1125.6389679895597","0","true"
"0.65","1017","55","true","0.65","1164.8880584866738","0","true"
"0.66","1059","55","true","0.66","1205.265752748977","0","true"
